iter	Passed	Remaining
407	4810	6980
408	4822	6967
409	4833	6955
410	4844	6942
411	4856	6930
412	4867	6917
413	4878	6905
414	4889	6892
415	4900	6880
416	4912	6867
417	4923	6855
418	4935	6843
419	4947	6831
420	4958	6819
421	4969	6806
422	4981	6794
423	4992	6782
424	5003	6769
425	5014	6757
426	5026	6744
427	5037	6731
428	5048	6719
429	5059	6706
430	5070	6694
431	5083	6684
432	5095	6671
433	5106	6659
434	5117	6647
435	5129	6634
436	5141	6623
437	5152	6610
438	5163	6598
439	5174	6585
440	5185	6573
441	5196	6560
442	5207	6548
443	5220	6537
444	5233	6526
445	5244	6514
446	5256	6502
447	5268	6491
448	5281	6480
449	5293	6469
450	5304	6457
451	5315	6444
452	5326	6432
453	5338	6420
454	5349	6408
455	5361	6395
456	5372	6383
457	5384	6371
458	5395	6359
459	5406	6347
460	5418	6335
461	5429	6322
462	5440	6310
463	5452	6298
464	5463	6286
465	5475	6273
466	5486	6261
467	5499	6251
468	5515	6244
469	5529	6235
470	5540	6222
471	5551	6210
472	5562	6197
473	5573	6185
474	5585	6172
475	5596	6160
476	5607	6148
477	5618	6135
478	5629	6123
479	5641	6111
480	5652	6099
481	5664	6087
482	5675	6075
483	5684	6060
484	5697	6049
485	5710	6039
486	5722	6027
487	5733	6015
488	5744	6003
489	5756	5990
490	5767	5978
491	5778	5966
492	5790	5954
493	5800	5941
494	5812	5929
495	5823	5917
496	5834	5904
497	5845	5892
498	5856	5880
499	5868	5868
500	5879	5855
501	5890	5843
502	5901	5831
503	5913	5819
504	5924	5807
505	5936	5795
506	5947	5783
507	5958	5771
508	5970	5759
509	5981	5747
510	5993	5735
511	6004	5722
512	6016	5711
513	6027	5698
514	6038	5686
515	6049	5674
516	6061	5662
517	6073	5651
518	6084	5639
519	6096	5627
520	6107	5614
521	6118	5602
522	6129	5590
523	6140	5578
524	6152	5566
525	6163	5554
526	6174	5541
527	6185	5529
528	6197	5517
529	6208	5505
530	6220	5493
531	6231	5481
532	6242	5469
533	6254	5457
534	6265	5445
535	6278	5434
536	6290	5423
537	6301	5411
538	6314	5400
539	6326	5389
540	6339	5378
541	6350	5366
542	6362	5354
543	6373	5342
544	6384	5330
545	6395	5318
546	6407	5306
547	6418	5294
548	6430	5282
549	6441	5270
550	6452	5258
551	6463	5245
552	6476	5235
553	6490	5224
554	6504	5215
555	6524	5210
556	6538	5199
557	6551	5189
558	6572	5185
559	6587	5176
560	6601	5166
561	6621	5160
562	6636	5151
563	6650	5141
564	6670	5135
565	6685	5126
566	6698	5115
567	6714	5106
568	6726	5095
569	6738	5083
570	6749	5071
571	6762	5060
572	6781	5053
573	6799	5046
574	6816	5038
575	6827	5025
576	6839	5013
577	6849	5000
578	6860	4988
579	6871	4976
580	6883	4964
581	6894	4952
582	6906	4939
583	6918	4928
584	6929	4915
585	6940	4903
586	6952	4891
587	6963	4879
588	6974	4866
589	6985	4854
590	6997	4842
591	7008	4830
592	7020	4818
593	7031	4805
594	7042	4793
595	7054	4781
596	7066	4770
597	7078	4758
598	7089	4746
599	7100	4733
600	7112	4721
601	7123	4709
602	7134	4697
603	7145	4684
604	7156	4672
605	7168	4660
606	7179	4648
607	7190	4636
608	7202	4624
609	7213	4611
610	7225	4600
611	7237	4588
612	7248	4576
613	7260	4564
614	7271	4552
615	7283	4540
616	7295	4528
617	7306	4516
618	7318	4504
619	7330	4492
620	7343	4481
621	7356	4470
622	7370	4460
623	7383	4448
624	7394	4436
625	7406	4424
626	7418	4413
627	7430	4401
628	7441	4389
629	7453	4377
630	7465	4365
631	7476	4353
632	7488	4341
633	7500	4329
634	7513	4318
635	7524	4306
636	7535	4294
637	7547	4282
638	7559	4270
639	7570	4258
640	7582	4246
641	7594	4234
642	7605	4222
643	7617	4211
644	7629	4199
645	7641	4187
646	7652	4175
647	7664	4163
648	7676	4151
649	7688	4139
650	7700	4127
651	7711	4116
652	7723	4104
653	7735	4092
654	7746	4080
655	7758	4068
656	7769	4056
657	7781	4044
658	7792	4032
659	7804	4020
660	7815	4008
661	7827	3996
662	7839	3984
663	7851	3973
664	7863	3961
665	7875	3949
666	7887	3937
667	7903	3928
668	7915	3916
669	7927	3904
670	7938	3892
671	7950	3880
672	7962	3868
673	7974	3856
674	7985	3845
675	7997	3832
676	8008	3821
677	8020	3809
678	8032	3797
679	8044	3785
680	8057	3774
681	8069	3762
682	8080	3750
683	8092	3738
684	8103	3726
685	8115	3714
686	8127	3702
687	8138	3690
688	8150	3678
689	8162	3667
690	8174	3655
691	8185	3643
692	8197	3631
693	8209	3619
694	8221	3607
695	8232	3595
696	8244	3583
697	8255	3571
698	8267	3559
699	8278	3547
700	8290	3536
701	8301	3524
702	8313	3512
703	8325	3500
704	8337	3488
705	8348	3476
706	8360	3464
707	8372	3452
708	8383	3441
709	8396	3429
710	8409	3418
711	8421	3406
712	8435	3395
713	8447	3383
714	8459	3371
715	8471	3360
716	8482	3348
717	8493	3336
718	8505	3324
719	8517	3312
720	8528	3300
721	8540	3288
722	8551	3276
723	8563	3264
724	8575	3252
725	8586	3240
726	8598	3228
727	8609	3216
728	8621	3204
