iter	Logloss
0	0.668544119
1	0.6486594928
2	0.623563244
3	0.6033449298
4	0.5901191298
5	0.5863586815
6	0.5736172327
7	0.5641834727
8	0.5518989871
9	0.5459258028
10	0.5395812983
11	0.5336080297
12	0.5242693156
13	0.5179285807
14	0.5095611787
15	0.5016519127
16	0.497454425
17	0.4932784792
18	0.4877124855
19	0.4853016473
20	0.4825420587
21	0.479892064
22	0.4759249072
23	0.4741676874
24	0.4730057553
25	0.4706324907
26	0.4668369421
27	0.4639050388
28	0.461963179
29	0.4591707917
30	0.4574292005
31	0.4553315615
32	0.4533550404
33	0.451379178
34	0.4496455777
35	0.4484615466
36	0.4462128798
37	0.4448684991
38	0.4434630331
39	0.4417555149
40	0.4393148528
41	0.4383598081
42	0.4377130927
43	0.4363276211
44	0.4357442509
45	0.4330198674
46	0.431046557
47	0.4300748199
48	0.4284190114
49	0.4267310718
50	0.4253281326
51	0.4244848712
52	0.4239722208
53	0.4235348058
54	0.4224015438
55	0.4210184014
56	0.4204010522
57	0.4192335795
58	0.4187369445
59	0.4182596603
60	0.417401716
61	0.4160991745
62	0.4158384913
63	0.4155500097
64	0.4152759766
65	0.4142358822
66	0.4135240849
67	0.4131271494
68	0.4128883345
69	0.4125050875
70	0.4121362208
71	0.4114856302
72	0.4112218392
73	0.410980407
74	0.4102700525
75	0.4097864271
76	0.4092640165
77	0.4090188445
78	0.408808584
79	0.4084885422
80	0.4080977353
81	0.4078942221
82	0.4074648832
83	0.4070104789
84	0.4065226127
85	0.4060417243
86	0.4053419022
87	0.4045511083
88	0.4040430074
89	0.4035943173
90	0.4033578522
91	0.403156772
92	0.4029214799
93	0.4020540972
94	0.4008402592
95	0.4006850927
96	0.4003861456
97	0.4001111035
98	0.3999171006
99	0.3997476488
100	0.3990921659
101	0.3988102477
102	0.397801319
103	0.3966967703
104	0.3964933353
105	0.39635067
106	0.3962107299
107	0.3960933812
108	0.3956860781
109	0.3955343707
110	0.3953582345
111	0.3951747101
112	0.3950794094
113	0.3949621376
114	0.394808909
115	0.3946968973
116	0.3945977581
117	0.3943644967
118	0.3938304508
119	0.3935978742
120	0.3934303445
121	0.3932791353
122	0.3929996482
123	0.3925641792
124	0.3923922352
125	0.392234875
126	0.3921513039
127	0.3920063659
128	0.3918642731
129	0.3917207845
130	0.3915645516
131	0.3914512714
132	0.3913590239
133	0.3908517469
134	0.3907079472
135	0.3904616172
136	0.3903579053
137	0.3901729996
138	0.390072348
139	0.3898211302
140	0.3895823625
141	0.3894525605
142	0.3891239642
143	0.3888841654
144	0.3887534104
145	0.3880004446
146	0.3878832299
147	0.3877692904
148	0.3876662202
149	0.3875572172
150	0.3872253859
151	0.3870770515
152	0.3869581011
153	0.3867607813
154	0.3865440355
155	0.3864359629
156	0.3863251682
157	0.3861949481
158	0.3860685674
159	0.3855680544
160	0.3854118688
161	0.3852895344
162	0.3851794181
163	0.3848284703
164	0.3846976459
165	0.3844887072
166	0.3843529496
167	0.3842905901
168	0.383956467
169	0.3838579487
170	0.3836250646
171	0.3832918415
172	0.3830975922
173	0.3828597363
174	0.3827210359
175	0.3826008186
176	0.3824082947
177	0.3820085255
178	0.3819139122
179	0.3818444626
180	0.381716108
181	0.3816083167
182	0.3813565369
183	0.381062032
184	0.3809836137
185	0.3808014
186	0.3805258933
187	0.3801301221
188	0.3800715244
189	0.3799673598
190	0.3798685576
191	0.3796245399
192	0.3792809193
193	0.3791800947
194	0.3788923068
195	0.3788021038
196	0.3782613944
197	0.378159026
198	0.3780581561
199	0.3779628342
200	0.3777556869
201	0.3773985655
202	0.3773127429
203	0.377237877
204	0.3770857722
205	0.3769712403
206	0.3768521461
207	0.3764393405
208	0.3763353553
209	0.3762353925
210	0.3761462094
211	0.3760232956
212	0.3759043183
213	0.3758173279
214	0.3755283084
215	0.3754330854
216	0.3753311379
217	0.375222548
218	0.3751303526
219	0.375014334
220	0.37487717
221	0.3747965466
222	0.3745819534
223	0.3744918928
224	0.374419582
225	0.3743192671
226	0.3742394406
227	0.3739189519
228	0.3737904123
229	0.3736956292
230	0.3734692134
231	0.3733511857
232	0.3731043612
233	0.3727152643
234	0.372577595
235	0.3724408233
236	0.3721339091
237	0.3720384983
238	0.371973696
239	0.3718878952
240	0.3717723673
241	0.3715726696
242	0.3713811185
243	0.3712640802
244	0.3710626717
245	0.3708477122
246	0.3707430643
247	0.3705088541
248	0.3702904819
249	0.3701289088
250	0.3700357315
251	0.3696239181
252	0.3690652399
253	0.3689827965
254	0.3688503835
255	0.3685257839
256	0.3684426082
257	0.3680603766
258	0.3678587185
259	0.3677401382
260	0.3676803662
261	0.3673455705
262	0.3670656545
263	0.3665848641
264	0.3664969861
265	0.3663783602
266	0.3661248479
267	0.3659544702
268	0.3658290302
269	0.3657373941
270	0.3655405695
271	0.3654404681
272	0.3653199703
273	0.3651821958
274	0.3650823735
275	0.3647639156
276	0.3646631557
277	0.3645630499
278	0.3644563283
279	0.3643317971
280	0.3639080993
281	0.363779596
282	0.3636234247
283	0.3634732366
284	0.3634000878
285	0.3632869472
286	0.3631677132
287	0.3630679891
288	0.3629321051
289	0.3628351406
290	0.3627442659
291	0.3626686903
292	0.3625855492
293	0.3625073551
294	0.3623992654
295	0.3623101605
296	0.362119527
297	0.3619141058
298	0.3612969505
299	0.3610312037
300	0.3609584335
301	0.3608368771
302	0.3606717477
303	0.360302434
304	0.3600646475
305	0.3599267686
306	0.3596558531
307	0.3595228981
308	0.359373192
309	0.3592154447
310	0.3590838314
311	0.3589133919
312	0.3587610753
313	0.3585967053
314	0.358294973
315	0.3582065277
316	0.3580936728
317	0.357986701
318	0.357870711
319	0.3577599211
320	0.3576649614
321	0.357561043
322	0.3574767073
323	0.3573774958
324	0.3573242249
325	0.3572426804
326	0.3570869424
327	0.357025258
328	0.3568999733
329	0.3568226607
330	0.3567129312
331	0.3565960246
332	0.3564089384
333	0.3562486923
334	0.3561856225
335	0.3561167992
336	0.3560027333
337	0.3557529962
338	0.3556764047
339	0.355627387
340	0.3555085496
341	0.3554385648
342	0.3553669475
343	0.3552647916
344	0.3551923775
345	0.3550424685
346	0.3549305543
347	0.3548561559
348	0.3544769734
349	0.354291054
350	0.3541837487
351	0.3540328921
352	0.353952051
353	0.3538628316
354	0.3537985966
355	0.3536924955
356	0.3536255527
357	0.3535373783
358	0.3534204632
359	0.3533410286
360	0.3531400165
361	0.353070221
362	0.352962159
363	0.3529074497
364	0.3528035199
365	0.3527272174
366	0.3526771124
367	0.3525856949
368	0.352512824
369	0.3524455236
370	0.3523361693
371	0.3521862805
372	0.3520780681
373	0.3519989338
374	0.3519240712
375	0.3518501481
376	0.3517682929
377	0.3516705961
378	0.3515708836
379	0.351484483
380	0.3514120682
381	0.3513261486
382	0.3512121314
383	0.3510183265
384	0.350954444
385	0.3508970053
386	0.3507763134
387	0.3506940622
388	0.3506205145
389	0.3504993096
390	0.3502995684
391	0.3501873866
392	0.3500361831
393	0.3498965744
394	0.3498099337
